id,category,english,amharic,amharicTranslit,afaanOromo,oromoPronunciation,context,exampleEn,difficulty,tags,reviewStatus
ethio-0328,Food & Drink,breakfast,ቁርስ,qurs,ciree,ciree,morning meals and hotel food,Use 'breakfast' in morning meals and hotel food.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0329,Food & Drink,lunch,ምሳ,misa,laaqana,laaqana,midday meals and restaurants,Use 'lunch' in midday meals and restaurants.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0330,Food & Drink,dinner,እራት,irat,irbaata,irbaata,evening meals and invitations,Use 'dinner' in evening meals and invitations.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0331,Food & Drink,snack,መክሰስ,mekses,nyaata salphaa,nyaata salphaa,small food between meals,Use 'snack' in small food between meals.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0332,Food & Drink,juice,ጭማቂ,chimaki,cuunfaa,cuunfaa,restaurant drinks and cafes,Use 'juice' in restaurant drinks and cafes.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0333,Food & Drink,soft drink,ለስላሳ መጠጥ,leslasa metet,dhugaatii lallaafaa,dhugaatii lallaafaa,"restaurants, shops, and cafes","Use 'soft drink' in restaurants, shops, and cafes.",beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0334,Food & Drink,mineral water,ሚኒራል ውሃ,mineral wuha,bishaan albuudaa,bishaan albuudaa,"restaurants, hotels, and travel","Use 'mineral water' in restaurants, hotels, and travel.",beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0335,Food & Drink,bottle,ጠርሙስ,termus,qaruuraa,qaruuraa,"drinks, shops, and travel","Use 'bottle' in drinks, shops, and travel.",beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0336,Food & Drink,cup,ኩባያ,kubaya,kooppii,kooppii,"coffee, tea, and restaurants","Use 'cup' in coffee, tea, and restaurants.",beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0337,Food & Drink,glass,ብርጭቆ,birchiko,burcuqqoo,burcuqqoo,drinks and restaurant tableware,Use 'glass' in drinks and restaurant tableware.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0338,Food & Drink,plate,ሳህን,sahn,saahinii,saahinii,food service and home meals,Use 'plate' in food service and home meals.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0339,Food & Drink,spoon,ማንኪያ,mankiya,falʼaana,falaana,restaurant and eating utensils,Use 'spoon' in restaurant and eating utensils.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0340,Food & Drink,fork,ሹካ,shuka,foorkii,foorkii,restaurant and eating utensils,Use 'fork' in restaurant and eating utensils.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0341,Food & Drink,knife,ቢላ,bila,billaa,billaa,restaurant and kitchen utensils,Use 'knife' in restaurant and kitchen utensils.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0342,Food & Drink,menu,የምግብ ዝርዝር,ye-migib zirzir,tarree nyaataa,tarree nyaataa,restaurant ordering and scan use cases,Use 'menu' in restaurant ordering and scan use cases.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0343,Food & Drink,vegetarian,ቬጀቴሪያን,vegeterian,kan foon hin nyaanne,kan foon hin nyaanne,dietary preference and restaurant communication,Use 'vegetarian' in dietary preference and restaurant communication.,intermediate,food-drink|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0344,Food & Drink,fasting food,የጾም ምግብ,ye-tsom migib,nyaata soomaa,nyaata soomaa,Ethiopian restaurants and religious fasting periods,Use 'fasting food' in Ethiopian restaurants and religious fasting periods.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0345,Food & Drink,spicy,ቃሪያ ያለው,qariya yalew,miʼaaʼaa,miaaa,food descriptions and preferences,Use 'spicy' in food descriptions and preferences.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0346,Food & Drink,not spicy,ቃሪያ የሌለው,qariya yelelew,kan hin miʼoofne,kan hin mioofne,ordering food with mild spice,Use 'not spicy' in ordering food with mild spice.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0347,Food & Drink,delicious,ጣፋጭ,tafatch,miʼaawaa,miaawaa,complimenting food,Use 'delicious' in complimenting food.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0348,Food & Drink,hungry,ተርቦኛል,terboñal,na beelaʼe,na beelae,expressing hunger,Use 'hungry' in expressing hunger.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0349,Food & Drink,thirsty,ተጠምቶኛል,tetemtoñal,na dheebote,na dheebote,asking for water or drinks,Use 'thirsty' in asking for water or drinks.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0350,Food & Drink,hot drink,ትኩስ መጠጥ,tikus metet,dhugaatii hoʼaa,dhugaatii hoaa,coffee and tea situations,Use 'hot drink' in coffee and tea situations.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0351,Food & Drink,cold drink,ቀዝቃዛ መጠጥ,qezqaza metet,dhugaatii qabbanaaʼaa,dhugaatii qabbanaa,restaurant drinks,Use 'cold drink' in restaurant drinks.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0352,Food & Drink,soup,ሾርባ,shorba,shorbaa,shorbaa,restaurants and home meals,Use 'soup' in restaurants and home meals.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0353,Food & Drink,salad,ሰላጣ,selata,salaaxaa,salaaxaa,restaurant meals,Use 'salad' in restaurant meals.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0354,Food & Drink,banana,ሙዝ,muz,muuzii,muuzii,fruit and market shopping,Use 'banana' in fruit and market shopping.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0355,Food & Drink,orange,ብርቱካን,birtukan,burtukaana,burtukaana,fruit and market shopping,Use 'orange' in fruit and market shopping.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0356,Food & Drink,mango,ማንጎ,mango,maangoo,maangoo,fruit and market shopping,Use 'mango' in fruit and market shopping.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0357,Food & Drink,apple,ፖም,pom,appilii,appilii,fruit and market shopping,Use 'apple' in fruit and market shopping.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0358,Food & Drink,potato,ድንች,dinch,dinnicha,dinnicha,market and cooking,Use 'potato' in market and cooking.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0359,Food & Drink,tomato,ቲማቲም,timatim,timaatimii,timaatimii,market and cooking,Use 'tomato' in market and cooking.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0360,Food & Drink,onion,ሽንኩርት,shinkurt,qullubbii,qullubbii,market and cooking,Use 'onion' in market and cooking.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0361,Food & Drink,garlic,ነጭ ሽንኩርት,nech shinkurt,qullubbii adii,qullubbii adii,market and cooking,Use 'garlic' in market and cooking.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0362,Food & Drink,pepper,በርበሬ,berbere,barbaree,barbaree,Ethiopian spices and cooking,Use 'pepper' in Ethiopian spices and cooking.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0363,Food & Drink,oil,ዘይት,zeyt,zayitii,zayitii,cooking and shopping,Use 'oil' in cooking and shopping.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0364,Food & Drink,flour,ዱቄት,duqet,daakuu,daakuu,baking and cooking,Use 'flour' in baking and cooking.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0365,Food & Drink,honey,ማር,mar,damma,damma,"food, tea, and market shopping","Use 'honey' in food, tea, and market shopping.",beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0366,Food & Drink,cheese,አይብ,ayib,baaduu,baaduu,food and dairy,Use 'cheese' in food and dairy.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0367,Food & Drink,butter,ቅቤ,qibe,dhadhaa,dhadhaa,cooking and food,Use 'butter' in cooking and food.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0368,Food & Drink,yogurt,እርጎ,irgo,itittuu,itittuu,dairy and food,Use 'yogurt' in dairy and food.,beginner,food-drink|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0369,Market & Money,ATM,ኤቲኤም,ATM,ATM,ATM,cash withdrawal and banking,Use 'ATM' in cash withdrawal and banking.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0370,Market & Money,card,ካርድ,card,kaardii,kaardii,"payments, banking, and identification","Use 'card' in payments, banking, and identification.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0371,Market & Money,account,ሂሳብ,hisab,herrega,herrega,banking and payments,Use 'account' in banking and payments.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0372,Market & Money,balance,ቀሪ ሂሳብ,qeri hisab,haftee herregaa,haftee herregaa,banking and mobile money,Use 'balance' in banking and mobile money.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0373,Market & Money,deposit,ተቀማጭ,teqemach,kuusaa,kuusaa,banking and savings,Use 'deposit' in banking and savings.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0374,Market & Money,withdraw,ማውጣት,mawtat,baasuu,baasuu,cash withdrawal and banking,Use 'withdraw' in cash withdrawal and banking.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0375,Market & Money,transfer,ማስተላለፍ,mastelalef,dabarsuu,dabarsuu,banking and mobile money transfers,Use 'transfer' in banking and mobile money transfers.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0376,Market & Money,mobile money,ሞባይል ገንዘብ,mobile genzeb,maallaqa moobaayilaa,maallaqa moobaayilaa,digital payments and wallets,Use 'mobile money' in digital payments and wallets.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0377,Market & Money,payment,ክፍያ,kifiya,kaffaltii,kaffaltii,"paying bills, transport, school, or market purchases","Use 'payment' in paying bills, transport, school, or market purchases.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0378,Market & Money,bill,ቢል,bill,nagahee kaffaltii,nagahee kaffaltii,"restaurant, hotel, utilities, and services","Use 'bill' in restaurant, hotel, utilities, and services.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0379,Market & Money,invoice,ደረሰኝ,dereseñ,invooysii,invooysii,business payments and receipts,Use 'invoice' in business payments and receipts.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0380,Market & Money,tax,ግብር,gibir,gibira,gibira,"business, government, and finance","Use 'tax' in business, government, and finance.",intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0381,Market & Money,fee,ክፍያ,kifiya,kaffaltii,kaffaltii,"school, bank, service, and entrance payments","Use 'fee' in school, bank, service, and entrance payments.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0382,Market & Money,loan,ብድር,bidir,liqii,liqii,banking and finance,Use 'loan' in banking and finance.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0383,Market & Money,interest,ወለድ,weled,dhala,dhala,banking and loans,Use 'interest' in banking and loans.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0384,Market & Money,saving,ቁጠባ,quteba,qulqullina maallaqaa,qulqullina maallaqaa,personal finance and banking,Use 'saving' in personal finance and banking.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0385,Market & Money,salary,ደመወዝ,demewoz,mindaa,mindaa,work and personal finance,Use 'salary' in work and personal finance.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0386,Market & Money,rent,ኪራይ,kiray,kiraa,kiraa,housing and payments,Use 'rent' in housing and payments.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0387,Market & Money,budget,በጀት,bejet,baajata,baajata,finance and planning,Use 'budget' in finance and planning.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0388,Market & Money,profit,ትርፍ,tirf,buʼaa,buaa,business and trade,Use 'profit' in business and trade.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0389,Market & Money,loss,ኪሳራ,kisara,kasaaraa,kasaaraa,business and finance,Use 'loss' in business and finance.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0390,Market & Money,debt,ዕዳ,ida,liqii,liqii,personal finance and credit,Use 'debt' in personal finance and credit.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0391,Market & Money,credit,ብድር,bidir,kireeditii,kireeditii,"banking, shop credit, and finance","Use 'credit' in banking, shop credit, and finance.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0392,Market & Money,wallet,ቦርሳ,borsa,boorsaa,boorsaa,"money, ID, and daily objects","Use 'wallet' in money, ID, and daily objects.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0393,Market & Money,coin,ሳንቲም,santim,saantima,saantima,small money and cash,Use 'coin' in small money and cash.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0394,Market & Money,note money,የወረቀት ገንዘብ,ye-wereqet genzeb,maallaqa waraqaa,maallaqa waraqaa,cash payments,Use 'note money' in cash payments.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0395,Market & Money,total,ድምር,dimir,walumaagalatti,walumaagalatti,"receipts, bills, and calculations","Use 'total' in receipts, bills, and calculations.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0396,Market & Money,amount,መጠን,meten,hamma,hamma,payments and quantities,Use 'amount' in payments and quantities.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0397,Market & Money,quantity,ብዛት,bizat,baayʼina,baayina,shopping and stock,Use 'quantity' in shopping and stock.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0398,Market & Money,weight,ክብደት,kibdet,ulfaatina,ulfaatina,market goods and measurement,Use 'weight' in market goods and measurement.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0399,Market & Money,kilogram,ኪሎ,kilo,kiiloo,kiiloo,market food weights,Use 'kilogram' in market food weights.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0400,Market & Money,liter,ሊትር,litr,liitira,liitira,"water, oil, milk, and fuel quantity","Use 'liter' in water, oil, milk, and fuel quantity.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0401,Market & Money,half,ግማሽ,gimash,walakkaa,walakkaa,quantity and price negotiation,Use 'half' in quantity and price negotiation.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0402,Market & Money,quarter,ሩብ,rub,kurmaana,kurmaana,"quantity, time, and fractions","Use 'quarter' in quantity, time, and fractions.",intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0403,Market & Money,free,ነጻ,nettsa,bilisa,bilisa,"prices, services, and offers","Use 'free' in prices, services, and offers.",beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0404,Market & Money,available,ይገኛል,yigenyal,ni jira,ni jira,stock and services,Use 'available' in stock and services.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0405,Market & Money,not available,አይገኝም,ayigenyim,hin jiru,hin jiru,stock and services,Use 'not available' in stock and services.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0406,Market & Money,open market,ገበያ,gebeya,gabaa,gabaa,shopping and market context,Use 'open market' in shopping and market context.,beginner,market-money|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0407,Market & Money,wholesale,በጅምላ,bejimla,jumlaan,jumlaan,business and bulk buying,Use 'wholesale' in business and bulk buying.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0408,Market & Money,retail,በችርቻሮ,bechircharo,daldala xixiqqaa,daldala xixiqqaa,small shop and retail business,Use 'retail' in small shop and retail business.,intermediate,market-money|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0409,Emergency & Health,nurse,ነርስ,nurse,narsee,narsee,clinic and hospital situations,Use 'nurse' in clinic and hospital situations.,beginner,emergency-health|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0410,Emergency & Health,clinic,ክሊኒክ,klinik,kilinikaa,kilinikaa,healthcare and medical visits,Use 'clinic' in healthcare and medical visits.,beginner,emergency-health|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0411,Emergency & Health,headache,ራስ ምታት,ras mitat,mata dhukkubbii,mata dhukkubbii,health symptoms and pharmacy,Use 'headache' in health symptoms and pharmacy.,beginner,emergency-health|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0412,Emergency & Health,stomach pain,የሆድ ህመም,ye-hod himem,garaacha dhukkubbii,garaacha dhukkubbii,health symptoms,Use 'stomach pain' in health symptoms.,beginner,emergency-health|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0413,Emergency & Health,cough,ሳል,sal,qufaa,qufaa,health symptoms,Use 'cough' in health symptoms.,beginner,emergency-health|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0414,Emergency & Health,cold illness,ጉንፋን,gunfan,qufaa fi qorraa,qufaa fi qorraa,common illness and symptoms,Use 'cold illness' in common illness and symptoms.,beginner,emergency-health|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
