id,category,english,amharic,amharicTranslit,afaanOromo,oromoPronunciation,context,exampleEn,difficulty,tags,reviewStatus
ethio-011,Greetings & Courtesy,yes,አዎ,awo,eeyyee,eeyyee,"daily greetings, politeness, first conversations",Use 'yes' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-012,Greetings & Courtesy,no,አይ,ay,lakki,lakki,"daily greetings, politeness, first conversations",Use 'no' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-013,Greetings & Courtesy,okay,እሺ,ishi,tole,tole,"daily greetings, politeness, first conversations",Use 'okay' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-014,Greetings & Courtesy,how are you,እንዴት ነህ,endet neh,akkam jirta,akkam jirta,"daily greetings, politeness, first conversations",Use 'how are you' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-015,Greetings & Courtesy,I am fine,ደህና ነኝ,dehna negn,nagaan jira,nagaan jira,"daily greetings, politeness, first conversations",Use 'I am fine' in greetings and courtesy situations.,beginner,greetings-courtesy;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-016,People & Family,person,ሰው,sew,nama,nama,"family, school, customer service, social conversation",Use 'person' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-017,People & Family,man,ወንድ,wend,dhiira,dhiira,"family, school, customer service, social conversation",Use 'man' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-018,People & Family,woman,ሴት,set,dubartii,dubartii,"family, school, customer service, social conversation",Use 'woman' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-019,People & Family,child,ልጅ,lij,mucaa,mucaa,"family, school, customer service, social conversation",Use 'child' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-020,People & Family,baby,ሕፃን,hisan,daa'ima,daa'ima,"family, school, customer service, social conversation",Use 'baby' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-021,People & Family,family,ቤተሰብ,beteseb,maatii,maatii,"family, school, customer service, social conversation",Use 'family' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-022,People & Family,mother,እናት,enat,haadha,haadha,"family, school, customer service, social conversation",Use 'mother' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-023,People & Family,father,አባት,abat,abbaa,abbaa,"family, school, customer service, social conversation",Use 'father' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-024,People & Family,brother,ወንድም,wendim,obboleessa,obboleessa,"family, school, customer service, social conversation",Use 'brother' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-025,People & Family,sister,እህት,ehet,obboleettii,obboleettii,"family, school, customer service, social conversation",Use 'sister' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-026,People & Family,friend,ጓደኛ,gwadegna,hiriyaa,hiriyaa,"family, school, customer service, social conversation",Use 'friend' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-027,People & Family,teacher,መምህር,memhir,barsiisaa,barsiisaa,"family, school, customer service, social conversation",Use 'teacher' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-028,People & Family,student,ተማሪ,temari,barataa,barataa,"family, school, customer service, social conversation",Use 'student' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-029,People & Family,customer,ደንበኛ,denbegna,maamila,maamila,"family, school, customer service, social conversation",Use 'customer' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-030,People & Family,guest,እንግዳ,engida,keessummaa,keessummaa,"family, school, customer service, social conversation",Use 'guest' in people and family situations.,beginner,people-family;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-031,Food & Drink,food,ምግብ,migib,nyaata,nyaata,"restaurant, home, market, tourist menu translation",Use 'food' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-032,Food & Drink,water,ውሃ,wuha,bishaan,bishaan,"restaurant, home, market, tourist menu translation",Use 'water' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-033,Food & Drink,coffee,ቡና,buna,buna,buna,"restaurant, home, market, tourist menu translation",Use 'coffee' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-034,Food & Drink,tea,ሻይ,shay,shaayii,shaayii,"restaurant, home, market, tourist menu translation",Use 'tea' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-035,Food & Drink,milk,ወተት,wetet,aannan,aannan,"restaurant, home, market, tourist menu translation",Use 'milk' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-036,Food & Drink,bread,ዳቦ,dabo,buddeena,buddeena,"restaurant, home, market, tourist menu translation",Use 'bread' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-037,Food & Drink,injera,እንጀራ,injera,buddeena/xafii,buddeena/xafii,"restaurant, home, market, tourist menu translation",Use 'injera' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-038,Food & Drink,meat,ሥጋ,siga,foon,foon,"restaurant, home, market, tourist menu translation",Use 'meat' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-039,Food & Drink,chicken,ዶሮ,doro,lukkuu,lukkuu,"restaurant, home, market, tourist menu translation",Use 'chicken' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-040,Food & Drink,egg,እንቁላል,enkulal,hanqaaquu,hanqaaquu,"restaurant, home, market, tourist menu translation",Use 'egg' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-041,Food & Drink,rice,ሩዝ,ruz,ruuzii,ruuzii,"restaurant, home, market, tourist menu translation",Use 'rice' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-042,Food & Drink,salt,ጨው,chew,soogidda,soogidda,"restaurant, home, market, tourist menu translation",Use 'salt' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-043,Food & Drink,sugar,ስኳር,sikwar,sukkaara,sukkaara,"restaurant, home, market, tourist menu translation",Use 'sugar' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-044,Food & Drink,vegetable,አትክልት,atikilt,kuduraa,kuduraa,"restaurant, home, market, tourist menu translation",Use 'vegetable' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-045,Food & Drink,fruit,ፍራፍሬ,firafire,muduraa,muduraa,"restaurant, home, market, tourist menu translation",Use 'fruit' in food and drink situations.,beginner,food-drink;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-046,Market & Money,market,ገበያ,gebeya,gabaa,gabaa,"shopping, bargaining, small business, payment",Use 'market' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-047,Market & Money,price,ዋጋ,waga,gatii,gatii,"shopping, bargaining, small business, payment",Use 'price' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-048,Market & Money,money,ገንዘብ,genzeb,maallaqa,maallaqa,"shopping, bargaining, small business, payment",Use 'money' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-049,Market & Money,cash,ጥሬ ገንዘብ,tire genzeb,maallaqa harkaa,maallaqa harkaa,"shopping, bargaining, small business, payment",Use 'cash' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-050,Market & Money,change,መልስ,mels,deebii,deebii,"shopping, bargaining, small business, payment",Use 'change' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-051,Market & Money,expensive,ውድ,wid,qaalii,qaalii,"shopping, bargaining, small business, payment",Use 'expensive' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-052,Market & Money,cheap,ርካሽ,irkash,rakasa,rakasa,"shopping, bargaining, small business, payment",Use 'cheap' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-053,Market & Money,buy,መግዛት,megzat,bituu,bituu,"shopping, bargaining, small business, payment",Use 'buy' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-054,Market & Money,sell,መሸጥ,meshet,gurguruu,gurguruu,"shopping, bargaining, small business, payment",Use 'sell' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-055,Market & Money,discount,ቅናሽ,kinash,hir'ina gatii,hir'ina gatii,"shopping, bargaining, small business, payment",Use 'discount' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-056,Market & Money,receipt,ደረሰኝ,deresenj,nagahee,nagahee,"shopping, bargaining, small business, payment",Use 'receipt' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-057,Market & Money,shop,ሱቅ,suk,mana daldalaa,mana daldalaa,"shopping, bargaining, small business, payment",Use 'shop' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-058,Market & Money,seller,ሻጭ,shach,gurguraa,gurguraa,"shopping, bargaining, small business, payment",Use 'seller' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-059,Market & Money,buyer,ገዢ,gezi,bitataa,bitataa,"shopping, bargaining, small business, payment",Use 'buyer' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-060,Market & Money,how much,ስንት ነው,sint new,meeqa,meeqa,"shopping, bargaining, small business, payment",Use 'how much' in market and money situations.,beginner,market-money;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-061,Transport & Directions,road,መንገድ,menged,karaa,karaa,"taxi, bus, walking directions, travel",Use 'road' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-062,Transport & Directions,car,መኪና,mekina,konkolaataa,konkolaataa,"taxi, bus, walking directions, travel",Use 'car' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-063,Transport & Directions,bus,አውቶቡስ,awtobus,baasii,baasii,"taxi, bus, walking directions, travel",Use 'bus' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-064,Transport & Directions,taxi,ታክሲ,taksi,taaksii,taaksii,"taxi, bus, walking directions, travel",Use 'taxi' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-065,Transport & Directions,airport,አየር ማረፊያ,ayer marefiya,buufata xiyyaaraa,buufata xiyyaaraa,"taxi, bus, walking directions, travel",Use 'airport' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-066,Transport & Directions,station,ጣቢያ,tabiya,buufata,buufata,"taxi, bus, walking directions, travel",Use 'station' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-067,Transport & Directions,left,ግራ,gira,bitaa,bitaa,"taxi, bus, walking directions, travel",Use 'left' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-068,Transport & Directions,right,ቀኝ,keny,mirga,mirga,"taxi, bus, walking directions, travel",Use 'right' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-069,Transport & Directions,straight,ቀጥታ,ketta,qajeelaa,qajeelaa,"taxi, bus, walking directions, travel",Use 'straight' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-070,Transport & Directions,near,ቅርብ,kirb,dhihoo,dhihoo,"taxi, bus, walking directions, travel",Use 'near' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-071,Transport & Directions,far,ሩቅ,ruk,fagoo,fagoo,"taxi, bus, walking directions, travel",Use 'far' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-072,Transport & Directions,stop,አቁም,akum,dhaabi,dhaabi,"taxi, bus, walking directions, travel",Use 'stop' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-073,Transport & Directions,go,ሂድ,hid,deemi,deemi,"taxi, bus, walking directions, travel",Use 'go' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-074,Transport & Directions,come,ና,na,kottu,kottu,"taxi, bus, walking directions, travel",Use 'come' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-075,Transport & Directions,where,የት,yet,eessa,eessa,"taxi, bus, walking directions, travel",Use 'where' in transport and directions situations.,beginner,transport-directions;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-076,Hotel & Travel,hotel,ሆቴል,hotel,hoteela,hoteela,"hotel check-in, tourism, airport, guest support",Use 'hotel' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-077,Hotel & Travel,room,ክፍል,kifil,kutaa,kutaa,"hotel check-in, tourism, airport, guest support",Use 'room' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-078,Hotel & Travel,bed,አልጋ,alga,siree,siree,"hotel check-in, tourism, airport, guest support",Use 'bed' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-079,Hotel & Travel,key,ቁልፍ,kulif,furtuu,furtuu,"hotel check-in, tourism, airport, guest support",Use 'key' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-080,Hotel & Travel,bathroom,መታጠቢያ,metatebiya,mana fincaanii,mana fincaanii,"hotel check-in, tourism, airport, guest support",Use 'bathroom' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-081,Hotel & Travel,reservation,ቦታ ማስያዝ,bota masyaz,iddoo qabachuu,iddoo qabachuu,"hotel check-in, tourism, airport, guest support",Use 'reservation' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-082,Hotel & Travel,passport,ፓስፖርት,passport,paaspoortii,paaspoortii,"hotel check-in, tourism, airport, guest support",Use 'passport' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-083,Hotel & Travel,luggage,ሻንጣ,shanta,baay'ee/korojoo,baay'ee/korojoo,"hotel check-in, tourism, airport, guest support",Use 'luggage' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-084,Hotel & Travel,tourist,ቱሪስት,turist,turistii,turistii,"hotel check-in, tourism, airport, guest support",Use 'tourist' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-085,Hotel & Travel,guide,መመሪያ,memeriya,qajeelchaa,qajeelchaa,"hotel check-in, tourism, airport, guest support",Use 'guide' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-086,Hotel & Travel,map,ካርታ,karta,kaartaa,kaartaa,"hotel check-in, tourism, airport, guest support",Use 'map' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-087,Hotel & Travel,ticket,ትኬት,tiket,tikkeettii,tikkeettii,"hotel check-in, tourism, airport, guest support",Use 'ticket' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-088,Hotel & Travel,entrance,መግቢያ,megbia,seensa,seensa,"hotel check-in, tourism, airport, guest support",Use 'entrance' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-089,Hotel & Travel,exit,መውጫ,mewcha,ba'uu,ba'uu,"hotel check-in, tourism, airport, guest support",Use 'exit' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-090,Hotel & Travel,help desk,መረጃ ዴስክ,mereja desk,deeskii odeeffannoo,deeskii odeeffannoo,"hotel check-in, tourism, airport, guest support",Use 'help desk' in hotel and travel situations.,beginner,hotel-travel;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-091,Emergency & Health,help,እርዳታ,irdata,gargaarsa,gargaarsa,"safety, hospital, pharmacy, urgent help",Use 'help' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-092,Emergency & Health,emergency,አደጋ,adega,balaa ariifachiisaa,balaa ariifachiisaa,"safety, hospital, pharmacy, urgent help",Use 'emergency' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-093,Emergency & Health,police,ፖሊስ,polis,poolisii,poolisii,"safety, hospital, pharmacy, urgent help",Use 'police' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-094,Emergency & Health,hospital,ሆስፒታል,hospital,hospitaala,hospitaala,"safety, hospital, pharmacy, urgent help",Use 'hospital' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-095,Emergency & Health,doctor,ሐኪም,hakim,doktara,doktara,"safety, hospital, pharmacy, urgent help",Use 'doctor' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-096,Emergency & Health,medicine,መድሃኒት,medhanit,qoricha,qoricha,"safety, hospital, pharmacy, urgent help",Use 'medicine' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-097,Emergency & Health,pain,ህመም,himem,dhukkubbii,dhukkubbii,"safety, hospital, pharmacy, urgent help",Use 'pain' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-098,Emergency & Health,sick,ታምሜአለሁ,tammealehu,dhukkubsadheera,dhukkubsadheera,"safety, hospital, pharmacy, urgent help",Use 'sick' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-099,Emergency & Health,allergy,አለርጂ,alerji,alergii,alergii,"safety, hospital, pharmacy, urgent help",Use 'allergy' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-100,Emergency & Health,fever,ትኩሳት,tikusat,ho'a qaamaa,ho'a qaamaa,"safety, hospital, pharmacy, urgent help",Use 'fever' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-101,Emergency & Health,water needed,ውሃ እፈልጋለሁ,wuha efelegalhu,bishaan na barbaachisa,bishaan na barbaachisa,"safety, hospital, pharmacy, urgent help",Use 'water needed' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-102,Emergency & Health,lost,ጠፍቻለሁ,tefchalehu,badeera,badeera,"safety, hospital, pharmacy, urgent help",Use 'lost' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-103,Emergency & Health,danger,አደጋ,adega,balaa,balaa,"safety, hospital, pharmacy, urgent help",Use 'danger' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-104,Emergency & Health,call,ደውል,dewul,bilbili,bilbili,"safety, hospital, pharmacy, urgent help",Use 'call' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-105,Emergency & Health,now,አሁን,ahun,amma,amma,"safety, hospital, pharmacy, urgent help",Use 'now' in emergency and health situations.,beginner,emergency-health;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-106,Time & Calendar,today,ዛሬ,zare,har'a,har'a,"planning, appointments, schedules",Use 'today' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-107,Time & Calendar,tomorrow,ነገ,nege,boru,boru,"planning, appointments, schedules",Use 'tomorrow' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-108,Time & Calendar,yesterday,ትናንት,tinant,kaleessa,kaleessa,"planning, appointments, schedules",Use 'yesterday' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-109,Time & Calendar,morning,ጠዋት,tewat,ganama,ganama,"planning, appointments, schedules",Use 'morning' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-110,Time & Calendar,afternoon,ከሰዓት በኋላ,keseat behwala,waaree booda,waaree booda,"planning, appointments, schedules",Use 'afternoon' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-111,Time & Calendar,evening,ምሽት,mishit,galgala,galgala,"planning, appointments, schedules",Use 'evening' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-112,Time & Calendar,night,ሌሊት,lelit,halkan,halkan,"planning, appointments, schedules",Use 'night' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-113,Time & Calendar,week,ሳምንት,samint,torban,torban,"planning, appointments, schedules",Use 'week' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-114,Time & Calendar,month,ወር,wer,ji'a,ji'a,"planning, appointments, schedules",Use 'month' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-115,Time & Calendar,year,ዓመት,amet,waggaa,waggaa,"planning, appointments, schedules",Use 'year' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-116,Time & Calendar,hour,ሰዓት,seat,sa'aatii,sa'aatii,"planning, appointments, schedules",Use 'hour' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-117,Time & Calendar,minute,ደቂቃ,dekika,daqiiqaa,daqiiqaa,"planning, appointments, schedules",Use 'minute' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
ethio-118,Time & Calendar,early,ቀደም,kedem,ganamaan,ganamaan,"planning, appointments, schedules",Use 'early' in time and calendar situations.,beginner,time-calendar;beginner;ethio-lang-mvp,starter_ai_generated_review_with_native_speaker
